Category_Walkenhorst,Category_Recoded,item,item_number,kosher,price,weight
ASIAN FOOD,ASIAN FOOD,A Taste of Thai Green Curry Paste 1.75 oz.,22668-399,FALSE,$2.45,1.75  oz.
ASIAN FOOD,ASIAN FOOD,A Taste of Thai Pad Thai Sauce 3.25 oz.,22668-408,FALSE,$2.95,3.25  oz.
ASIAN FOOD,ASIAN FOOD,A Taste of Thai Panang Curry Paste 1.75 oz.,22668-409,FALSE,$2.45,1.75  oz.
ASIAN FOOD,ASIAN FOOD,A Taste of Thai Peanut Sauce Mix 3.5 oz.,22668-414,FALSE,$2.95,3.5  oz.
ASIAN FOOD,ASIAN FOOD,A Taste of Thai Red Curry Paste 1.75 oz.,3111-998,FALSE,$2.45,1.75  oz.
ASIAN FOOD,ASIAN FOOD,A Taste of Thai Yellow Curry Paste 1.75 oz.,22668-416,FALSE,$2.45,1.75  oz.
ASIAN FOOD,ASIAN FOOD,Assi Organic Roasted Peeled Chestnut 3.5 oz.,50782-036,FALSE,$2.95,3.5  oz.
ASIAN FOOD,ASIAN FOOD,Bin Bin Rice Crackers 3.7 oz.,90828-001,FALSE,$2.45,3.7  oz.
ASIAN FOOD,ASIAN FOOD,Canton Dried Thin Egg Noodles 16 oz.,3111-656,FALSE,$4.45,16  oz.
ASIAN FOOD,ASIAN FOOD,Cooked Duck Eggs 6 Ct. 12.69 oz.,90828-061,FALSE,$5.75,12.69  oz.
ASIAN FOOD,ASIAN FOOD,Crispy Seaweed 1.75 oz.,90828-014,FALSE,$3.25,1.75  oz.
ASIAN FOOD,ASIAN FOOD,Crispy Spicy Hot Seaweed 1.75 oz.,90828-015,FALSE,$3.25,1.75  oz.
ASIAN FOOD,ASIAN FOOD,Double Happiness Beancurd Sticks 5.3 oz.,90828-132,FALSE,$2.75,5.3  oz.
ASIAN FOOD,ASIAN FOOD,Double Happiness Fried Bean Curd Sheets 6.34 oz.,90828-143,FALSE,$7.25,6.34  oz.
ASIAN FOOD,ASIAN FOOD,Double Happiness Rice Paper 8.7” 12 oz.,90828-056,FALSE,$2.95,12  oz.
ASIAN FOOD,ASIAN FOOD,Double Happiness Rice Sticks 14 oz.,90828-037,FALSE,$2.75,14  oz.
ASIAN FOOD,ASIAN FOOD,Dragon Fly Lime Powder 8 oz.,90828-139,FALSE,$6.95,8  oz.
ASIAN FOOD,ASIAN FOOD,DragonFly Fried Pork Ears 2 oz.,90828-051,FALSE,$4.95,2  oz.
ASIAN FOOD,ASIAN FOOD,DragonFly Hot Pork Skin Strips 3 oz.,90828-049,FALSE,$3.45,3  oz.
ASIAN FOOD,ASIAN FOOD,DragonFly Imitation Shrimp Noodles 16 oz.,90828-055,FALSE,$3.25,16  oz.
ASIAN FOOD,ASIAN FOOD,DragonFly Pickled Sour Mustard 10.5 oz.,90828-082,FALSE,$1.85,10.5  oz.
ASIAN FOOD,ASIAN FOOD,DragonFly Thai Stir Fry Noodles with Pad Thai Sauce 7 oz.,90828-170,FALSE,$2.75,7  oz.
ASIAN FOOD,ASIAN FOOD,DragonFly Vermicelli 14 oz.,90828-057,FALSE,$4.25,14  oz.
ASIAN FOOD,ASIAN FOOD,Dynasty Maifun Rice Sticks 6.75 oz.,3111-701,FALSE,$3.95,6.75  oz.
